City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,wailua homesteads,22.0669,-159.378,301.59,68,40,6.17,US,1721345182
84,santander,43.4647,-3.8044,293.41,89,0,1.54,ES,1721345329
85,namibe,-15.1961,12.1522,290.13,79,20,3.48,AO,1721345229
86,tsiombe,-25.3,45.4833,292.89,82,94,3.99,MG,1721345453
87,alotau,-10.3069,150.4462,294.59,92,100,2.47,PG,1721345454
88,quellon,-43.1167,-73.6167,278.41,74,25,5.03,CL,1721345455
89,codrington,-38.2667,141.9667,282.99,69,100,11.1,AU,1721345457
90,pokrovka,42.3414,78.0056,287.26,70,76,2.12,KG,1721345459
91,carletonville,-26.3609,27.3977,282.88,24,0,1.99,ZA,1721345460
92,scottburgh,-30.2867,30.7532,292.99,69,23,9.36,ZA,1721345461
93,kendari,-3.945,122.4989,297.32,79,2,0.94,ID,1721345462
94,nikolayevsk-on-amure,53.1406,140.73,290.73,95,100,1.57,RU,1721345463
95,vorkuta,67.5,64.0,283.81,71,19,2.65,RU,1721345464
96,keren,15.7778,38.4581,293.98,89,88,1.61,ER,1721345467
97,nuuk,64.1835,-51.7216,281.49,76,75,4.12,GL,1721345319
98,ribeira grande,38.5167,-28.7,294.69,82,36,2.24,PT,1721345149
99,arraial do cabo,-22.9661,-42.0278,292.13,88,75,1.54,BR,1721345470
100,corfu,39.62,19.9197,302.14,84,20,1.54,GR,1721345471
101,morehead city,34.7229,-76.726,302.17,84,75,7.72,US,1721345187
102,vorgashor,67.5833,63.95,282.3,74,11,3.05,RU,1721345148
103,atafu village,-8.5421,-172.5159,301.81,74,68,8.88,TK,1721345190
104,saipan,15.1355,145.701,301.54,78,75,5.66,MP,1721345077
105,puerto santa,-8.9906,-78.6456,290.4,83,6,4.97,PE,1721345478
106,college,64.8569,-147.8028,290.98,53,75,3.6,US,1721345087
107,ust-nera,64.5667,143.2,293.79,58,32,2.67,RU,1721345150
108,tshabong,-26.05,22.45,282.17,50,0,3.59,BW,1721345481
109,lisakovsk,52.5369,62.4936,289.38,83,99,2.42,KZ,1721345483
110,kingston,17.997,-76.7936,303.68,70,20,7.72,JM,1721345281
111,kidal,18.4411,1.4078,308.12,9,0,5.26,ML,1721345485
112,port douglas,-16.4833,145.4667,291.6,54,100,3.64,AU,1721345486
113,glendive,47.1053,-104.7125,307.94,21,0,6.69,US,1721345487
114,bredasdorp,-34.5322,20.0403,281.69,91,2,3.07,ZA,1721345176
115,opuwo,-18.0607,13.84,287.21,34,0,1.17,NA,1721345489
116,port lincoln,-34.7333,135.8667,285.97,74,100,12.81,AU,1721345490
117,korla,41.7597,86.1469,299.28,46,100,2.1,CN,1721345492
118,west island,-12.1568,96.8225,298.14,78,75,7.72,CC,1721345493
119,turkestan,43.3333,68.25,299.15,40,73,2.8,KZ,1721345494
